-----|Tables|Multidimensional tables|Link/Node|Trees|Fields|Geometry|Static file|Dynamic stream|Standard 2D/3D displays|Geometrically transformed displays|Icon-based displays|Dense pixel displays|Stacked displays|Overview|Zoom/Interactive Zooming|Filter/Interactive Filtering|Details-on-demand|Relate|History|Extract|Linking and Brushing|Moving/Rotate|
Ad-hoc networks|1|0|1|0|0|0|1|2|4|0|2|1|0|4|2|2|1|1|0|0|1|2|
Wireless & mobile networks|9|0|9|0|0|0|8|8|19|0|9|3|0|12|6|5|0|3|0|0|1|3|
IP networks|208|0|67|11|0|0|168|73|227|34|121|58|22|142|94|105|32|9|1|1|20|29|
LANs|8|0|0|0|0|0|7|2|7|2|5|0|0|6|5|4|1|0|0|0|1|1|
Optical Networks|1|0|0|0|0|0|0|1|1|0|1|0|0|1|0|1|0|0|0|0|0|0|
Sensor Networks|0|0|4|0|0|0|1|3|5|0|1|0|0|4|2|2|0|0|0|0|0|0|
Virtual Networks|0|0|1|0|0|0|1|0|1|0|1|0|0|1|0|1|0|0|0|0|0|0|
Software Defined and Programmable Networks|1|0|2|0|0|0|0|2|2|0|2|0|0|2|0|0|1|0|0|0|0|0|
Data Center Networks|1|0|1|0|0|0|3|0|2|1|1|0|0|1|0|0|0|0|0|0|1|0|
Smart Grids|0|0|1|0|0|0|0|1|1|0|0|0|0|1|1|1|1|1|0|0|0|0|
Multimedia services (e.g., voice, video)|1|0|1|0|0|0|2|1|3|0|2|1|0|1|1|0|0|0|0|0|0|0|
Data services (e.g., email, web)|11|0|6|1|0|0|12|6|19|1|8|2|2|11|3|11|1|1|0|0|1|5|
Hosting (virtual machines)|1|0|1|0|0|0|1|1|2|0|1|0|0|2|0|1|0|0|0|0|0|1|
Cloud services|1|0|1|0|0|0|1|0|2|0|2|0|0|1|1|0|0|0|0|0|1|0|
Resource provisioning and management|0|0|2|1|0|0|2|0|2|0|3|0|0|3|1|1|1|0|0|0|0|1|
QoE-centric management|1|0|3|0|0|0|1|2|3|0|1|1|0|1|1|0|0|0|0|0|0|0|
Service discovery, migration and orchestration|2|0|1|0|0|0|1|1|2|0|2|0|0|1|1|1|0|0|0|0|0|0|
Legal & ethical issues|1|0|1|0|0|0|2|0|2|0|0|0|0|1|1|0|0|0|0|0|0|0|
Process management|1|0|2|0|0|0|1|0|1|0|2|0|0|2|1|1|2|1|0|0|0|1|
Fault management|21|0|7|0|0|0|19|9|27|0|17|2|1|13|5|8|1|0|0|0|2|3|
Configuration management|10|0|6|0|0|0|10|8|17|1|13|2|0|3|0|3|0|0|0|0|1|0|
Accounting management|3|0|1|0|0|0|2|2|4|0|2|0|0|2|1|1|1|0|0|0|0|0|
Performance management|27|0|9|0|0|0|18|18|38|0|19|3|2|18|9|12|5|0|0|0|3|5|
Security management|173|0|55|8|0|0|136|62|183|35|93|55|22|122|80|96|25|11|1|1|17|25|
SLA management|1|0|1|1|0|0|1|2|3|0|2|0|0|2|1|1|1|0|0|0|0|0|
Event management|12|0|5|1|0|0|9|5|14|2|9|1|2|8|3|6|3|0|0|0|2|1|
Centralized management|0|0|2|0|0|0|0|1|2|0|0|0|0|1|1|0|0|0|0|0|0|0|
Distributed management|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|
Autonomic and self management|1|0|1|0|0|0|1|1|2|0|1|1|0|2|0|2|0|0|0|0|0|0|
Policy-based management|5|0|3|2|0|0|4|3|9|0|5|1|0|4|3|3|1|0|0|0|1|2|
Federated network management|1|0|0|0|0|0|0|1|1|0|0|1|0|1|0|1|0|0|0|0|0|0|
Pro-active management|1|0|0|0|0|0|1|0|1|0|1|1|0|1|1|1|0|0|0|0|0|1|
Protocols|23|0|15|4|0|0|26|7|32|2|18|7|2|15|8|10|1|1|1|0|3|2|
P2P|2|0|1|0|0|0|2|0|2|0|2|0|0|2|1|0|0|0|0|0|0|0|
Grid|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|
Data, information, and semantic modeling|18|0|5|1|0|0|15|5|20|0|12|2|2|11|8|13|4|1|0|0|1|0|
Cloud computing|0|0|1|1|0|0|2|0|2|1|1|0|0|1|1|1|0|0|0|0|0|0|
Human Machine interaction|39|0|13|1|0|0|29|19|43|9|28|10|5|38|22|30|9|3|0|0|7|11|
Control theories|0|0|0|0|0|0|1|0|1|0|0|0|0|1|0|2|0|0|0|0|0|1|
Optimization theories|1|0|2|0|0|0|1|1|2|0|0|0|0|1|0|1|0|0|0|0|0|0|
Machine learning and genetic algorithms|10|0|4|0|0|0|9|2|8|2|5|5|0|5|1|5|2|1|0|0|0|2|
Probabilistic, stochastic processes, queuing theory|6|0|5|0|0|0|7|3|8|2|3|3|1|4|1|4|3|1|0|0|2|0|
Simulation|13|0|12|0|0|0|15|3|20|2|10|6|1|14|10|9|2|2|0|0|2|5|
Experimental approach|213|0|84|12|0|0|177|80|250|32|128|55|20|158|101|112|36|10|1|0|20|32|
Design|202|0|79|11|0|0|165|76|237|28|128|57|18|142|98|103|32|9|1|1|18|28|
Monitoring & Measurements|80|0|22|4|0|0|55|42|89|9|42|27|10|58|37|37|12|2|0|0|6|9|
Data mining and (big) data analytics|18|0|6|0|0|0|17|3|21|1|12|4|2|11|7|10|1|2|0|1|1|2|
