Network Management|----
Ad-hoc networks|3
Wireless & mobile networks|19
IP networks|243
LANs|9
Optical Networks|1
Sensor Networks|4
Overlay Networks|0
Virtual Networks|1
Software Defined and Programmable Networks|1
Data Center Networks|3
Smart Grids|1
Service Management|----
Multimedia services (e.g., voice, video)|3
Data services (e.g., email, web)|19
Hosting (virtual machines)|2
Grids|0
Cloud services|2
Resource provisioning and management|2
QoE-centric management|3
Service discovery, migration and orchestration|2
Business Management|----
Legal & ethical issues|2
Process management|2
Functional Areas|----
Fault management|27
Configuration management|18
Accounting management|4
Performance management|35
Security management|203
SLA management|2
Event management|11
Management Approaches|----
Centralized management|2
Distributed management|1
Autonomic and self management|2
Policy-based management|10
Federated network management|1
Pro-active management|1
Energy-aware network management|0
Technologies|----
Protocols|30
Middleware|0
Mobile agents|0
P2P|2
Data, information, and semantic modeling|22
Cloud computing|3
Internet of Things|0
Human Machine interaction|48
Operations and Business Support Systems (OSS/BSS)|0
Grid|1
Methods|----
Control theories|1
Optimization theories|2
Economic theories|0
Machine learning and genetic algorithms|11
Logics|0
Probabilistic, stochastic processes, queuing theory|10
Simulation|22
Experimental approach|264
Design|262
Monitoring & Measurements|95
Data mining and (big) data analytics|22
